,seconds,date,hr,diff
222,209.302,[2023-09-08 19:22:22 439],89.0,0.5
223,209.802,[2023-09-08 19:22:22 939],89.0,0.5
224,210.302,[2023-09-08 19:22:23 439],88.0,0.5
225,210.802,[2023-09-08 19:22:23 939],87.0,0.5
226,211.302,[2023-09-08 19:22:24 439],86.0,0.5
227,211.802,[2023-09-08 19:22:24 939],86.0,0.5
228,212.302,[2023-09-08 19:22:25 439],85.0,0.5
229,212.802,[2023-09-08 19:22:25 939],86.0,0.5
230,213.302,[2023-09-08 19:22:26 439],86.0,0.5
231,213.802,[2023-09-08 19:22:26 939],87.0,0.5
232,214.302,[2023-09-08 19:22:27 439],87.0,0.5
233,214.802,[2023-09-08 19:22:27 939],87.0,0.5
234,215.302,[2023-09-08 19:22:28 439],87.0,0.5
235,215.802,[2023-09-08 19:22:28 939],87.0,0.5
236,216.302,[2023-09-08 19:22:29 439],87.0,0.5
237,216.802,[2023-09-08 19:22:29 939],88.0,0.5
238,217.302,[2023-09-08 19:22:30 439],88.0,0.5
239,217.802,[2023-09-08 19:22:30 939],88.0,0.5
240,218.302,[2023-09-08 19:22:31 439],88.0,0.5
241,218.802,[2023-09-08 19:22:31 939],88.0,0.5
242,219.302,[2023-09-08 19:22:32 439],88.0,0.5
243,219.802,[2023-09-08 19:22:32 939],88.0,0.5
244,220.302,[2023-09-08 19:22:33 439],87.0,0.5
245,220.802,[2023-09-08 19:22:33 939],87.0,0.5
246,221.302,[2023-09-08 19:22:34 439],85.0,0.5
247,221.802,[2023-09-08 19:22:34 939],85.0,0.5
248,222.302,[2023-09-08 19:22:35 439],84.0,0.5
249,222.802,[2023-09-08 19:22:35 939],84.0,0.5
250,223.302,[2023-09-08 19:22:36 439],84.0,0.5
251,223.802,[2023-09-08 19:22:36 939],83.0,0.5
252,224.302,[2023-09-08 19:22:37 439],82.0,0.5
253,224.802,[2023-09-08 19:22:37 939],82.0,0.5
254,225.302,[2023-09-08 19:22:38 439],81.0,0.5
255,225.802,[2023-09-08 19:22:38 939],81.0,0.5
256,226.302,[2023-09-08 19:22:39 439],80.0,0.5
257,226.802,[2023-09-08 19:22:39 939],80.0,0.5
258,227.302,[2023-09-08 19:22:40 439],79.0,0.5
259,227.802,[2023-09-08 19:22:40 939],78.0,0.5
260,228.302,[2023-09-08 19:22:41 439],78.0,0.5
261,228.802,[2023-09-08 19:22:41 939],77.0,0.5
262,229.302,[2023-09-08 19:22:42 439],77.0,0.5
263,229.802,[2023-09-08 19:22:42 939],76.0,0.5
264,230.302,[2023-09-08 19:22:43 439],76.0,0.5
265,230.802,[2023-09-08 19:22:43 939],76.0,0.5
266,231.302,[2023-09-08 19:22:44 439],76.0,0.5
267,231.802,[2023-09-08 19:22:44 939],76.0,0.5
268,232.302,[2023-09-08 19:22:45 439],76.0,0.5
269,232.802,[2023-09-08 19:22:45 939],76.0,0.5
270,233.302,[2023-09-08 19:22:46 439],76.0,0.5
271,233.802,[2023-09-08 19:22:46 939],76.0,0.5
272,234.302,[2023-09-08 19:22:47 439],77.0,0.5
273,234.802,[2023-09-08 19:22:47 939],77.0,0.5
274,235.302,[2023-09-08 19:22:48 439],78.0,0.5
275,235.802,[2023-09-08 19:22:48 939],78.0,0.5
276,236.302,[2023-09-08 19:22:49 439],78.0,0.5
277,236.802,[2023-09-08 19:22:49 939],79.0,0.5
278,237.302,[2023-09-08 19:22:50 439],79.0,0.5
279,237.802,[2023-09-08 19:22:50 939],79.0,0.5
280,238.302,[2023-09-08 19:22:51 439],79.0,0.5
281,238.802,[2023-09-08 19:22:51 939],79.0,0.5
282,239.302,[2023-09-08 19:22:52 439],79.0,0.5
283,239.802,[2023-09-08 19:22:52 939],80.0,0.5
284,240.302,[2023-09-08 19:22:53 439],80.0,0.5
285,240.802,[2023-09-08 19:22:53 939],79.0,0.5
286,241.302,[2023-09-08 19:22:54 439],79.0,0.5
287,241.802,[2023-09-08 19:22:54 939],79.0,0.5
288,242.302,[2023-09-08 19:22:55 439],79.0,0.5
289,242.802,[2023-09-08 19:22:55 939],78.0,0.5
290,243.302,[2023-09-08 19:22:56 439],78.0,0.5
291,243.802,[2023-09-08 19:22:56 939],78.0,0.5
292,244.302,[2023-09-08 19:22:57 439],79.0,0.5
293,244.802,[2023-09-08 19:22:57 939],79.0,0.5
294,245.302,[2023-09-08 19:22:58 439],80.0,0.5
295,245.802,[2023-09-08 19:22:58 939],81.0,0.5
296,246.302,[2023-09-08 19:22:59 439],81.0,0.5
297,246.802,[2023-09-08 19:22:59 939],82.0,0.5
298,247.302,[2023-09-08 19:23:00 439],82.0,0.5
299,247.802,[2023-09-08 19:23:00 939],83.0,0.5
300,248.302,[2023-09-08 19:23:01 439],83.0,0.5
301,248.802,[2023-09-08 19:23:01 939],82.0,0.5
302,249.302,[2023-09-08 19:23:02 439],82.0,0.5
303,249.802,[2023-09-08 19:23:02 939],83.0,0.5
304,250.302,[2023-09-08 19:23:03 439],83.0,0.5
305,250.802,[2023-09-08 19:23:03 939],83.0,0.5
306,251.302,[2023-09-08 19:23:04 439],83.0,0.5
307,251.802,[2023-09-08 19:23:04 939],83.0,0.5
308,252.302,[2023-09-08 19:23:05 439],83.0,0.5
309,252.802,[2023-09-08 19:23:05 939],83.0,0.5
310,253.302,[2023-09-08 19:23:06 439],83.0,0.5
311,253.802,[2023-09-08 19:23:06 939],82.0,0.5
312,254.302,[2023-09-08 19:23:07 439],82.0,0.5
313,254.802,[2023-09-08 19:23:07 939],81.0,0.5
314,255.302,[2023-09-08 19:23:08 439],81.0,0.5
315,255.802,[2023-09-08 19:23:08 939],81.0,0.5
316,256.302,[2023-09-08 19:23:09 439],81.0,0.5000000000000284
317,256.802,[2023-09-08 19:23:09 939],82.0,0.5
318,257.302,[2023-09-08 19:23:10 439],82.0,0.5
319,257.802,[2023-09-08 19:23:10 939],83.0,0.5
320,258.302,[2023-09-08 19:23:11 439],83.0,0.5
321,258.802,[2023-09-08 19:23:11 939],83.0,0.5
322,259.302,[2023-09-08 19:23:12 439],83.0,0.5
323,259.802,[2023-09-08 19:23:12 939],83.0,0.5
324,260.302,[2023-09-08 19:23:13 439],83.0,0.5
325,260.802,[2023-09-08 19:23:13 939],84.0,0.5
326,261.302,[2023-09-08 19:23:14 439],84.0,0.5
327,261.802,[2023-09-08 19:23:14 939],84.0,0.5
328,262.302,[2023-09-08 19:23:15 439],84.0,0.5
329,262.802,[2023-09-08 19:23:15 939],84.0,0.5
330,263.302,[2023-09-08 19:23:16 439],84.0,0.5
331,263.802,[2023-09-08 19:23:16 939],84.0,0.5
332,264.302,[2023-09-08 19:23:17 439],84.0,0.5
333,264.802,[2023-09-08 19:23:17 939],84.0,0.5
334,265.302,[2023-09-08 19:23:18 439],84.0,0.5
335,265.802,[2023-09-08 19:23:18 939],83.0,0.5
336,266.302,[2023-09-08 19:23:19 439],83.0,0.5
337,266.802,[2023-09-08 19:23:19 939],82.0,0.5
338,267.302,[2023-09-08 19:23:20 439],81.0,0.5
339,267.802,[2023-09-08 19:23:20 939],80.0,0.5
340,268.302,[2023-09-08 19:23:21 439],79.0,0.5
341,268.802,[2023-09-08 19:23:21 939],78.0,0.5
342,269.302,[2023-09-08 19:23:22 439],77.0,0.5
343,269.802,[2023-09-08 19:23:22 939],75.0,0.5
344,270.302,[2023-09-08 19:23:23 439],73.0,0.5
345,270.802,[2023-09-08 19:23:23 939],72.0,0.5
346,271.302,[2023-09-08 19:23:24 439],71.0,0.5
347,271.802,[2023-09-08 19:23:24 939],70.0,0.5
348,272.302,[2023-09-08 19:23:25 439],70.0,0.5
349,272.802,[2023-09-08 19:23:25 939],70.0,0.5
350,273.302,[2023-09-08 19:23:26 439],70.0,0.5
351,273.802,[2023-09-08 19:23:26 939],69.0,0.5
352,274.302,[2023-09-08 19:23:27 439],69.0,0.5
353,274.802,[2023-09-08 19:23:27 939],68.0,0.5
354,275.302,[2023-09-08 19:23:28 439],68.0,0.5
355,275.802,[2023-09-08 19:23:28 939],68.0,0.5
356,276.302,[2023-09-08 19:23:29 439],68.0,0.5
